loc_name,muni,address,prov
Canna Cabana Niagara Falls,Niagara Falls,5731 Victoria Ave,Ontario
Paramount Cannabis Company,Sarnia,208 Front St N,Ontario
Happy Dayz,Orillia,69 Mississaga St E,Ontario
Spiritleaf,Toronto,2389 Bloor St W,Ontario
Roll N Rock Cannabis Co.,Brampton,14 Lisa St Unit 114,Ontario
Shinybud Cannabis Co. 48 Dundas Belleville,Belleville,48 Dundas St W Unit 4,Ontario
The Premier Cannabis Shop Of Kensington Market Canna,Toronto,44 Kensington Ave,Ontario
The Kensary,Toronto,80 Kensington Ave,Ontario
Tokyo Smoke North Bay,North Bay,390 Lakeshore Dr Suite 3,Ontario
Dutch Love Bank St.,Ottawa,208 Bank St,Ontario
Lolly,Caledonia,14 Caithness St E,Ontario
Tokyo Smoke,Hamilton,235 James St N,Ontario
Take Me Home Cannabis,North York,820 Wilson Ave,Ontario
The Underground Ontario,Barrie,408 Dunlop St W Unit 2,Ontario
Tokyo Smoke 450 Yonge,Toronto,450 Yonge St,Ontario
The Community Store ,Belleville,257 North Front St Unit 5,Ontario
Best Buds Forever,Collingwood,191 Hurontario St Suite 1,Ontario
Best Buds Forever,Etobicoke,500 Rexdale Blvd Unit N008,Ontario
Best Buds Forever,Toronto,3096 Dundas St W,Ontario
Best Buds Forever,Toronto,474 Queen St W,Ontario
Sessions Cannabis Orillia,Orillia,30 Diana Dr,Ontario
Bud Heaven,Bracebridge,77 Manitoba St,Ontario
The Cannabis Connoisseur,Port Perry,1874 Scugog St Unit 2,Ontario
Value Buds ,Burlington,2485 Appleby Line Unit G1,Ontario
Tokyo Smoke,Toronto,545 Queen St W,Ontario
Sativa Bliss Cannabis Boutique,Belleville,200 Front St Unit 101,Ontario
One Plant Barrhaven,Nepean,"4335 Strandherd Dr Unit 3,4,5",Ontario
Canna Cabana,Guelph,3 Woodlawn Rd W,Ontario
One Plant,North York,1703 Avenue Rd,Ontario
Miss Jones,North Bay,955 Mckeown Ave Unit 2,Ontario
Star Buds Cannabis Co.,Barrie,181 Livingstone St E Unit 3,Ontario
Value Buds,Waterloo,628 King St N Unit A4,Ontario
K’S Pot Shop,Toronto,1342 Queen St E,Ontario
Miss Jones,North Bay,300 Lakeshore Dr Unit 727,Ontario
Growers Retail,Etobicoke,970 The Queensway,Ontario
Fire & Flower Cannabis Co.,North York,1542 Jane St Unit 4,Ontario
Cannaverse,Thunder Bay,570 Harbour Expy Unit 4,Ontario
Qbud,Guelph,128 Wyndham St N,Ontario
Em Jay'S,Etobicoke,5160 Dundas St W,Ontario
Roll'D Cannabis Company,Kanata,500 Hazeldean Rd Suite 105,Ontario
Unplug Cannabis Co.,Kanata,4055 Carling Ave Unit 4,Ontario
Sweet Releafs Inc.,Hamilton,1660 Upper James St Unit 4,Ontario
Capturing Eden,Haliburton,192 Highland Street,Ontario
Day 'N' Nite Cannabis,Toronto,407B Bloor St E,Ontario
Tokyo Smoke 1180 Queen Street W,Toronto,1180 Queen St W ,Ontario
Northern Zen Cannabis,North Bay,76 Osprey Miikan Rd,Ontario
Tokyo Smoke,Toronto,979 Bloor St W,Ontario
Tokyo Smoke Wellington St,Ottawa,1000 Wellington St W Unit 101,Ontario
Cheerful Charlies Cannabis Co.,North Bay,16 Osprey Miikan Rd,Ontario
Piffingtons Cannabis Co,Milton,100 Bronte St S Unit 4,Ontario
Dutch Love Cannabis Nepean,Ottawa,"1642 Merivale Rd, Unit A01014A",Ontario
Friendly Stranger ,Dundas,112-101 Osler Dr,Ontario
Friendly Stranger,Oshawa,204 Ritson Rd N Suite C5.5,Ontario
Tokyo Smoke 75 Pinebush,Cambridge,75 Pinebush Rd Unit D0005,Ontario
Shiny Bud,Toronto,2625 Weston Rd Unit C26-27,Ontario
Arbud,Mallorytown,74 Quabbin Rd,Ontario
Secret Garden Cannabis,Ottawa,1018 Wellington St W,Ontario
Mihi,Stoney Creek,"1370 S Service Rd, Building A Unit 3 Winona Crossing Shopping Centre",Ontario
Tokyo Smoke Rymal,Stoney Creek,2257 Rymal Rd E Unit D1,Ontario
One Plant,Ajax,20 Kingston Rd W Unit 3A,Ontario
Friendly Stranger,Burlington ,1025 & 1059 Plains Rd E Unit 3 ,Ontario
Gram Station,Etobicoke,2 Wendover Rd,Ontario
Circa 1818,Cobourg,8 Strathy Rd Unit 3,Ontario
Herbs Cannabis Inc ,Toronto,2413 St Clair Ave W,Ontario
Groovy'S,Wasaga Beach,676 River Rd E,Ontario
Spiritleaf 10 Balsam Street,Collingwood,10 Balsam St Unit 3,Ontario
Spiritleaf Guelph,Guelph,492 Edinburgh Rd S Unit B2B,Ontario
Ridgeburn,Gloucester,1638 Cyrville Rd Suite 6A,Ontario
Collective Growers,Pembroke,79 Pembroke St W,Ontario
Harvest Bud Cannabis,Windsor,2155 Wyandotte St W Suite B,Ontario
Best Budz,Brantford,140 West St,Ontario
Baybud Cannabis,Barry'S Bay,48 Bay St.,Ontario
Kawartha Leafs,Peterborough,1535 Water St Unit 2,Ontario
Deep River Cannabis,Deep River,33155 Highway 17 East,Ontario
Hypnos Cannabis,Scarborough,3474 Danforth Ave,Ontario
Ovcs,Pembroke,1035 Pembroke St E,Ontario
Canna Cabana,Kitchener,569 Fairway Rd S Unit H3,Ontario
Teapad Medical Inc. ,Guelph,465 Clair Rd W,Ontario
Bud Bank,Chatham,445 Richmond St,Ontario
Bluebird Cannabis Co.,Kanata,499 Terry Fox Dr Unit 60,Ontario
41 Cannabis Company,Northbrook,12278 Highway 41 Rr 1,Ontario
Ab Laboratories,Ancaster,1428 Sandhill Dr,Ontario
High Society Cannabis Co.,Marathon,13 Stevens Avenue,Ontario
Nature'S Canopy House,Brampton,49 Kennedy Rd S Unit 3,Ontario
Pakalolo,Ottawa,2786A Lancaster Rd,Ontario
Ideal Buds,Dryden,27 King St,Ontario
Cantopia Cannabis Co.,Waterloo,150 Wissler Rd Unit 2,Ontario
Welcome Cannabis ,Toronto,1227 Dundas St W,Ontario
Chrontact Cannabis,Ottawa,2280 Carling Ave Suite 1,Ontario
Vivid Cannabis Co.,Orillia,3 Progress Dr Unit 3,Ontario
Sessions Cannabis Retail,Welland,200 Fitch St Unit 12A,Ontario
Creekside Cannabis,Blind River,26220 Hwy 17,Ontario
Edition X,Toronto,764 St Clair Ave W,Ontario
Canna Cabana,Stratford,618 Huron St,Ontario
Good Cookie,Scarborough,371 Old Kingston Rd Suite B,Ontario
Havok Smoke,North York,650 Sheppard Ave W,Ontario
Hi Class ,Toronto,527 Eglinton Ave W,Ontario
Dutch Love Cannabis,Toronto,1316 King St W,Ontario
Gormley Cannabis,Whitchurch-Stouffville,12275 Woodbine Ave.,Ontario
Fire & Flower Cannabis Co.,Orangeville,121 Broadway,Ontario
Sessions Cannabis Peterborough,Peterborough,550 Lansdowne St W Unit 15,Ontario
Friendly Stranger ,Cambridge,200 Franklin Blvd Unit F39,Ontario
Davenport Leaf,Toronto,139 Dupont St,Ontario
Highland Cannabis,Kitchener,370 Highland Rd W Unit 15B,Ontario
Tree Tops Cannabis Co.,London,1070 Wellington Rd Unit 17,Ontario
Hemisphere Cannabis Co.,Ottawa,171 Rideau St,Ontario
The Hunny Pot Cannabis Co. Centennial,Hamilton,40 Centennial Pky N Suite 5,Ontario
Kasa Kana,Peterborough,1840 Lansdowne St W Unit 8,Ontario
Canna Cabana  Burlington ,Burlington,2400 Guelph Line Unit 2,Ontario
Maryjane'S Cannabis,Etobicoke,418 The Westway,Ontario
Two Cats Cannabis Co.,Toronto,1014 Gerrard St E,Ontario
Spiritleaf 64 Hamilton Street North,Waterdown,64 Hamilton St N Unit 2A,Ontario
Mind Flower Cannabis Company,Toronto,1220B King St W,Ontario
Tokyo Smoke,Thunder Bay,572 Arthur St W Unit 5,Ontario
Garden City Cannabis Co,St Catharines,111 Fourth Ave Unit 9,Ontario
Spiritleaf 875 Milner Avenue,Scarborough,875 Milner Ave Unit 114,Ontario
J. Supply Co. Thunder Bay,Thunder Bay,701 Memorial Ave Unit 2,Ontario
Canna Cabana East York,East York,1723 Bayview Ave Unit A1,Ontario
Bob'S Bud Emporium,St Thomas,483 Talbot St,Ontario
Rainbow Thunder Bay Cannabis Accessories ,Thunder Bay,428 Victoria Ave E,Ontario
Grand Cannabis,Dunnville,217 Broad St E Unit 2C,Ontario
Cloud 29,Windsor,300 Cabana Rd E Suite 2,Ontario
Welcome Cannabis ,Burlington,1401 Plains Rd E Unit 5,Ontario
Utopia Cannabis,North York,1252 Lawrence Ave E Unit 4,Ontario
Wonder Buds Cannabis,Niagara Falls,4635-A  Queen St,Ontario
Canyon Cannabis,Toronto,1864 Queen St E,Ontario
Greengo Cannabis,Etobicoke,3755 Lake Shore Blvd W,Ontario
Cannabis Supply Co.,St Catharines,314 Lake St Unit 4,Ontario
Corner Cannabis - Stouffville,Stouffville,6272 Main St Unit 1,Ontario
Shinybud Cannabis Co. 410 Montreal,Cornwall,410 Montreal Rd,Ontario
Canyon Cannabis,Toronto,1644 Bloor St W,Ontario
Higher Limits Cannabis Company,Amherstburg,400 Sandwich St S Unit 1300,Ontario
The We Store,Windsor,1800 Huron Church Rd Unit B,Ontario
Spiritleaf Little Italy,Toronto,542 College St,Ontario
Boondom,Windsor,4782 Wyandotte St E,Ontario
Growers Retail Bloor,Toronto,1239 Bloor St W,Ontario
Sativa Bliss Cannabis Boutique,Cambridge,611 Hespeler Rd Unit 2,Ontario
Cannasavvy Cannabis Co.,Windsor,3395 Howard Ave Unit 4,Ontario
Star Buds Cannabis Co.,Barrie,500 Huronia Rd Unit 208,Ontario
420Love,Hamilton,246-248 King Street West,Ontario
One Plant Masonville,London,94 Fanshawe Park Rd E Unit 6,Ontario
Fire & Flower Cannabis Co.,North York,1616 Wilson Ave Unit 1,Ontario
Sessions Cannabis Oshawa,Oshawa,1 Warren Ave Unit 104,Ontario
The Den Cannabis Store,Barrie,190 Minets Point Unit 4,Ontario
Fire & Flower Cannabis Co. ,London,685 Richmond St Suite 109,Ontario
Friendly Stranger,Toronto,717 College St,Ontario
Paramount Cannabis Company ,Orangeville,215-245 Centennial Road G-C,Ontario
Rc Bud Shop,Harrow,6 King Street,Ontario
Eighth Cannabis,North York,610 Marlee Ave,Ontario
Spiritleaf 895 Lawrence Avenue,North York,"895 Lawrence Ave E, Unit No. A01001A ",Ontario
Hibuzz,Brampton,40 Rivermont Rd Unit D2,Ontario
Mihi,Burlington,3500 Dundas St Unit A1B,Ontario
Spiritleaf,Stratford,1020 Ontario St Suite 2,Ontario
Paramount Cannabis Co.,Milton,355 Main St E,Ontario
Spiritleaf,London,109 Fanshawe Park Rd E Unit 9,Ontario
Spiritleaf,Burlington,"3295 Fairview St, Unit 004A",Ontario
Erbn Green,Toronto,3244 Yonge St,Ontario
Hempire House,Orangeville,59 First St,Ontario
Weedjar,Scarborough,2807 Eglinton Ave E,Ontario
Pluto Plants,Chatham,598 Queen St,Ontario
Canna North Cannabis Store,Ottawa,800 Hunt Club Rd Unit 3,Ontario
Shinybud Cannabis Co. Herongate Square,Ottawa,"1670 Heron Rd, Unit A1.3-A1.4",Ontario
Mary J'S Cannabis,Kingston,154 Division St,Ontario
T Cannabis,Smiths Falls,4 Russell St E,Ontario
Fire & Flower Cannabis Co.,Toronto,4 Brock Ave,Ontario
Fire & Flower Cannabis Co.,North Bay,2021 Algonquin Ave Suite 102,Ontario
The We Store,Windsor,4050 Walker Rd Unit 300,Ontario
Queen George Cannabis,Hamilton,67 King St E,Ontario
Canna Cabana,Scarborough,"85 Ellesmere Rd, Unit A01003B",Ontario
Miss Jones,Orillia,81 Mississaga St E,Ontario
The We Store,Chatham,427 St Clair St Unit 5A,Ontario
One Plant Bradford,Bradford,484 Holland St W Unit B-1,Ontario
Canna Cabana,Toronto,698 Queen St E,Ontario
Village Bud ,Lansdowne,1136 Prince Street,Ontario
Relm Cannabis Co.,Toronto,870 Bloor St W,Ontario
Lux Smoke Vape/Cafe,London,467 Wharncliffe Rd S,Ontario
The We Store,Belle River,"1303 Essex County Road #22, Unit 180",Ontario
Spiritleaf 979 Wellington Road,London,979 Wellington Rd Suite 106A,Ontario
Chronicles Cannabis,Hamilton,1575 Upper Ottawa St Unit 8,Ontario
Smokey'S,Toronto,1881 Queen St E,Ontario
Canna Cabana London,London,760 Hyde Park Rd Unit 7B,Ontario
Cannabis Link,London,509 Commissioners Rd W Unit A35,Ontario
Fridays Cannabis,Picton,190 Picton Main St,Ontario
Cannabis Express,Toronto,"108 Dundas Street West, 2Nd Floor",Ontario
Fire & Flower Cannabis Co.,Sarnia,1362 Lambton Mall Rd Unit 20,Ontario
The Spot Cannabis,Burlington,3247 Appleby Line Unit 3/4,Ontario
Redden’S Junction Cannabis,Longbow Lake,"4433 Highway, 17 East",Ontario
Island Smoke,Trenton,220 Dundas St E,Ontario
Happy Life,Sudbury,1021 Kingsway Unit 3,Ontario
Tokyo Smoke,Etobicoke,164 Evans Ave Unit 1,Ontario
Value Buds,Hamilton,631 King St W,Ontario
Choom Cannabis Co. ,Toronto,61 Hanna Ave Unit 3,Ontario
Choom Cannabis ,Ottawa,500 Terminal Ave Unit 10,Ontario
Northern Helm Cannabis,Toronto,1338 Danforth Ave,Ontario
James Street Cannabis Co.,Hamilton,574 James St N Unit 7,Ontario
Levicann,Toronto,393 Eglinton Ave E,Ontario
Ouid,Nepean,34 Highbury Park Dr,Ontario
Spiritleaf St. Catherines,St Catharines,400 Scott St Unit C2,Ontario
Toke Cannabis,St Catharines,243 Welland Ave,Ontario
Wonderland Cannabis,Toronto,1578 Queen St E,Ontario
Trees Cannabis,Etobicoke,3812A Bloor St W,Ontario
Calyx + Trichomes,Kingston,1105 Midland Ave Units 4 - 5,Ontario
High-Way Grass Bar,Scotland,230 Oakland Rd Rr 1,Ontario
Little Leaf,Stratford,804 Ontario St Unit 3-5,Ontario
Breaking Bud Cannabis,Scarborough,2683 Eglinton Ave E,Ontario
Harvest Cannabis Co,Brantford,59 Dalhousie St,Ontario
The Amherstburg Cannabis Company,Amherstburg,268 Sandwich St S,Ontario
Inspired Cannabis Co,Welland,825 Ontario Rd Unit 125,Ontario
Budtimez,Barrie,165 Wellington St W Suite 2A,Ontario
Trees Cannabis ,Toronto,514 King St E Unit E,Ontario
Hemisphere Cannabis Co.,Toronto,65 Front St E Suite 100,Ontario
Grass Roots,Windsor,398 University Ave W,Ontario
Phoenix Cannabis,Oshawa,12 Simcoe St S,Ontario
Sessions Cannabis - Binbrook,Binbrook,2537 Rr 56 Unit B12,Ontario
Hemisphere Cannabis Co.,Ajax,"955 Westney Rd S, Unit 4-Ii",Ontario
Sessions Lakeshore,Lakeshore,35 Amy Croft Dr Unit 5,Ontario
Sweet Seven Cannabis Co.,Waterloo,71 King St N Unit A,Ontario
Relm Cannabis Co,Hamilton,245 King St E,Ontario
Miss Jones,Brantford,185 King George Rd Suite B5,Ontario
Brant Cannabis Co,Brantford,168 Charing Cross St,Ontario
Miss Jones,Toronto,170 Fort York Blvd Unit 1 & 2,Ontario
 Miss Jones,Barrie,"400 Bayfield St, Unit G58 G59 G61",Ontario
Speak Easy Cannabis,Bowmanville,21 King St W,Ontario
Nirvana Budz,Stoney Creek,141 Highway 8 Unit 2,Ontario
The Underground Ontario,Bancroft,1 Fairway Blvd Unit 6 Rr 2,Ontario
Wow World Of Weed,Toronto,3412 Weston Road,Ontario
The Treehouse Cannabis Company,Hamilton,1845 Main St W,Ontario
Paradise Cannabis,Welland,37 Niagara St,Ontario
Stash & Co,Nepean,1445 Merivale Road,Ontario
Fogtown Flower,Toronto,2152 Yonge St,Ontario
Woodstock Cannabis Co,Woodstock,579 Dundas St,Ontario
Friendly Stranger Danforth,Toronto,283 Danforth Ave Main Floor,Ontario
Fire & Flower Cannabis Co.,Guelph,314 Stone Rd W,Ontario
Cori ,Toronto,333 Queen St W,Ontario
10 Seventeen,Belle River,571 Notre Dame Street  Suite A,Ontario
Green Merchant A Cannabis Boutique,Toronto,294 Danforth Ave,Ontario
Green Merchant A Cannabis Boutique,Toronto,640 Yonge St,Ontario
Sparq Retail,Peterborough,861 Lansdowne St W Unit 4,Ontario
The Green Cloud Cannabis ,Listowel,102 Main St E Unit B,Ontario
Mooligai,Welland,68 West Main St,Ontario
The Oz Store,Orleans,3022 St. Joseph Blvd Unit B,Ontario
Civilian House Of Cannabis,Toronto,745 Queen St E,Ontario
Toke Cannabis,Niagara Falls,8568 Lundy'S Lane,Ontario
The 6Ix Cannabis,Ajax,475 Westney Rd N Unit 13,Ontario
Valley Cannabis,Pembroke,820 Pembroke St E,Ontario
Sativa Bliss Cannabis Boutique,Kitchener,57 Queen St South,Ontario
Tokyo Smoke 1819 Avenue,North York,1819 Avenue Rd,Ontario
Silverleaf Cannabis,Hamilton,"171 Mohawk Rd E, Unit 1",Ontario
Cannabis Supply Co.,Fort Erie,111 Niagara Blvd Unit 3,Ontario
Windswept Cannabis ,Parry Sound,78 Church St,Ontario
Paradise Cannabis,Fort Erie,427 Garrison Rd Unit 101,Ontario
Highties Cannabis Store,Embrun,825 Notre Dame St,Ontario
Sessions Cannabis Sarnia,Sarnia,600 Murphy Rd Suite 105A,Ontario
One Plant Orleans,Orleans,4240 Innes Rd Unit J3,Ontario
Collective Growers,Ottawa,534 Montreal Rd,Ontario
Grass Station,Waterdown,53 Dundas St E Suite 2,Ontario
Stok'D Cannabis,Scarborough,631 Pharmacy Ave,Ontario
Miss Jones,Stouffville,28 Sandiford Drive,Ontario
Spring Cannabis Express,Hamilton,692 Upper James St Unit B,Ontario
One Plant Kingston,Kingston,770 Gardiners Rd Unit A005,Ontario
Take Me Home Cannabis,North York,3257 Dufferin St,Ontario
Village Cannabis Co.,Crystal Beach,"264 Ridgeway Road, Unit 2",Ontario
Sessions Cannabis ,Hamilton,712 Mohawk Rd E Unit 1,Ontario
Lakeview Cannabis,Etobicoke,4 Mimico Ave,Ontario
Miss Jones,Cambridge,480 Hespeler Rd Unit 9/10A,Ontario
Canna Havana ,Cambridge,827 King St E Unit A,Ontario
Green Grove,Alliston,70 Victoria St E Suite 3,Ontario
Cannabis Emporium,Ottawa,243-245 Bank St,Ontario
Pufftastic Cannabis Company,Scarborough,2830 Markham Rd,Ontario
Ambrosia,Toronto,1605 Queen St W Unit 1,Ontario
Miss Jones,London,765 Exeter Rd Unit C64,Ontario
Higher Limits Cannabis Company,Blenheim,52 Catherine St Unit 4,Ontario
Canada Buds,Burlington,1860 Appleby Line Unit 11B,Ontario
The Higher Cannabis Company,Windsor,3407 Walker Rd,Ontario
One Plant Walkerville,Windsor,1320 Walker Road,Ontario
Shivaa’S Rose,Toronto,457 Saint Clarens Ave,Ontario
Pakalolo,Ottawa,258 Elgin St,Ontario
The Grove,Vanier,381A Montreal Rd,Ontario
T Cannabis,Beamsville,4322 Ontario Street Unit 3,Ontario
Trees Cannabis,Toronto,"76 St Clair Ave W, Unit 101-102",Ontario
Cannabis Bazaar,Gananoque,210 King St E Unit B,Ontario
Nomade Cannabis,Toronto,1428 Dundas St W,Ontario
Budget Bud Oshawa,Oshawa,650 King St E Unit 7,Ontario
Affx Cannabis,Hamilton,919 Upper Paradise Rd Unit 5,Ontario
Tony’S Joint ,Essex,20 Talbot St S Unit 5,Ontario
Trees Cannabis,Toronto,"1735 Kipling Ave, Bldg B, Unit 17",Ontario
Collective Growers,Ottawa,148 Sparks St,Ontario
Fire & Flower Cannabis Co.,Toronto,1980 St Clair Ave W F108,Ontario
The Cannabis Shop,Carleton Place,545 Mcneely Ave Unit 2B,Ontario
The We Store,Sarnia,889 Exmouth St Unit 11,Ontario
Rosebud Cannabis,Toronto,365 King St W Basement,Ontario
Dream Cannabis  ,Nepean,250 Greenbank Rd Unit 1B,Ontario
Cannabis Cupboard,Cambridge,215 Beverly Street Unit 1,Ontario
Tokyo Smoke Chapman Mills,Nepean,80 Marketplace Ave Unit J009,Ontario
Indo Smoke,Toronto,2038 Danforth Ave,Ontario
True North Cannabis Co. ,Chatham,170 Mcnaughton Ave W Unit 9,Ontario
Green World ,Ajax,1901 Harwood Ave N Unit 34,Ontario
Arnprior Cannabis,Arnprior,8 Elgin St W,Ontario
Due North Cannabis,Sault Ste. Marie,150 Churchill Blvd Unit C001,Ontario
Erbn Green,Picton,126 Picton Main St,Ontario
Tokyo Smoke 3003 Danforth,East York,3003 Danforth Ave Unit 29,Ontario
Budside,Toronto,2430 Danforth Ave,Ontario
Cannaco The Cannabis Company,Georgetown,28 Main St S,Ontario
Kelly'S Cannabis,Huntsville,36 King William St,Ontario
Shinybud Cannabis Co Blenheim,Blenheim,63B Talbot St W,Ontario
Sessions Cannabis - Rymal,Hamilton,675 Rymal Rd E Unit B103,Ontario
Tokyo Smoke Kanata Centrum,Kanata,300 Earl Grey Dr Unit A18,Ontario
Cori,Toronto ,552 Queen St W,Ontario
Mind Flower Cannabis Company,East York,1491 Bayview Ave,Ontario
Value Buds,Toronto,500 Bloor St W Unit 1,Ontario
Rama Cannabis,Rama,5988 Rama Rd,Ontario
Toke Cannabis,Hamilton,247 Centennial Pky N Unit 2,Ontario
Totally Baked Cannabis,Scarborough,2582 Birchmount Rd,Ontario
The Kensary,North York,380 Wilson Ave,Ontario
Tokyo Smoke Eglinton Town Centre,Scarborough ,8 Lebovic Ave Unit B5,Ontario
Sessions Cannabis Brockville,Brockville,2441 Parkedale Ave Unit C,Ontario
Barttowa Tree,Hamilton,1081 Barton St E,Ontario
High Q Solutions,Toronto,1444 Dupont St Building C Unit 20,Ontario
Cannaverse,Scarborough,2555 Eglinton Ave E Unit 8,Ontario
Cannabis Link,London,1175 Hyde Park Rd Unit 2B,Ontario
Can-Na-Bis ,Petrolia,4212 Petrolia Line,Ontario
Erbn Green,Toronto,842 Dundas St W,Ontario
Royal Blunt Cannabis,Windsor,2615 Howard Ave Unit 5,Ontario
Tokyo Smoke,Waterloo,170 University Ave W Suite 27,Ontario
Kushys,Pembroke,100 Pembroke St E Suite A,Ontario
Moonfire Cannabis,Sauble Beach,329 Main St Unit 3,Ontario
Cannabis Link ,London,1225 Wonderland Rd N Unit 40A,Ontario
Level Up,North York,155 Martin Ross Ave Unit 4,Ontario
T Cannabis ,Rockland,2865 Chamberland St Suite 1,Ontario
Weed Academy,Etobicoke,1192 The Queensway,Ontario
Shinybud Cannabis Co. 305 King St.,Prescott,305 King St West,Ontario
Flowertown Cannabis,Bridgenorth,874 Ward St Unit 4,Ontario
Thc Centre Cannabis Inc. ,Brampton,144 Kennedy Rd S Unit 4,Ontario
Miss Jones,St Catharines,370 Ontario St Unit 371-2,Ontario
Muskoka Cannabis Store Huntsville,Huntsville,92 King William St,Ontario
The Cannabist Shop - Woodlawn,Guelph,51 Woodlawn Rd W Suite 1,Ontario
Canvas Cannabis,Toronto,171 East Liberty St Suite 145,Ontario
Your Local Cannabis,Cobourg,2 King St E,Ontario
Spark Cannabis ,Coboconk,6666 On-35,Ontario
Muskoka Cannabis Gravenhurst,Gravenhurst,351 Talisman Dr Unit E01B,Ontario
T Cannabis - Renfrew,Renfrew,164 Raglan St S,Ontario
Highlife On Finch Retail,North York,1295 Finch Ave W Unit 1,Ontario
Spiritleaf 888 Meadowlands Drive East,Ottawa,888 Meadowlands Dr E Unit 7,Ontario
Spot420,Etobicoke,340 Browns Line,Ontario
Kasa Kana Hunstville,Huntsville,6 King William St,Ontario
Hurbn Cannabis Company,Kanata,767 Silver Seven Rd Unit 26,Ontario
Herb N Bud,Etobicoke,3759 Lake Shore Blvd W,Ontario
Off The Stem,Kapuskasing,24B Circle St,Ontario
Sunfish Cannabis,Lakefield,"112 Queen St, Unit #2",Ontario
Tokyo Smoke Brantford Commons,Brantford,300 King George Rd Unit K5,Ontario
Your Highness Cannabis,Sarnia,415 Exmouth St Unit 104,Ontario
Tbd,Barrie,1 Dunlop St E,Ontario
The Pot Spot,York,1860B Eglinton Ave W,Ontario
Star Buds Cannabis Co.,Innisfil,"813 Innisfil Beach Road, Unit 1",Ontario
Urbnbud,Windsor,7405 Tecumseh Road East Unit 200,Ontario
Trees Cannabis,London,1299 Oxford St E Unit 79B,Ontario
Cannabis Creek Co,Stoney Creek,39B King St E,Ontario
Tokyo Smoke,London,1240 Commissioners Rd W Unit 111,Ontario
Docks,Bobcaygeon,7 King St E,Ontario
One Plant Barrie (Cundles),Barrie,"627 Cundles Road East, Unit 111",Ontario
Unplug Cannabis Co.,Orleans,1375 Trim Rd Unit 3,Ontario
Grassroots Co,Sudbury,1113 Lasalle Blvd Unit 2,Ontario
Plug Canna6Is,Toronto,1719 Bloor St W,Ontario
T Cannabis,Acton,38 Mill St E,Ontario
Blackstar Cannabis,Toronto,666 Burnhamthorpe Rd Unit C,Ontario
Lit Cannabis,London,25 Oxford St W Unit 109,Ontario
Connoisseur Culture,Hawkesbury,30 Main St E Suite 88,Ontario
Highlife Bluewater,Sarnia,940 Murphy Rd Unit 1,Ontario
Canna Cabana,Toronto,720 King St W Unit 155,Ontario
Highlife Simcoe,Simcoe,95 Queensway W Suite 4,Ontario
Your Local Cannabis,Newcastle,45 King Ave W Unit 2&3,Ontario
Shinybud Cannabis Co. 975 Orillia ,Orillia,975 West Ridge Blvd Unit 517,Ontario
Spiritleaf 1250 Stittsville Main Street,Stittsville,1250 Stittsville Main St Unit C10,Ontario
Sessions Cannabis Cambridge,Cambridge,101 Holiday Inn Dr Unit B1,Ontario
Yield Cannabis Co.,Sarnia,1000 Finch Dr Unit 9,Ontario
Spot 420,St Catharines,120 Welland Ave Unit 5,Ontario
Ganjika House Queen And Airport,Brampton,2880 Queen St E Unit 8,Ontario
Bananas,Chelmsford,3454 Errington Ave,Ontario
Vibe Cannabis ,Toronto,8 Dovercourt Rd Unit 106,Ontario
Spiritleaf,Toronto,781 Queen St E,Ontario
Supreme Leaf Cannabis Company,Ramara,"5236 Highway 12 South, Unit B",Ontario
Matchbox Cannabis,Sault Ste Marie ,275 Second Line West Unit 120A ,Ontario
Growers Retail,East York,1021 Pape Ave,Ontario
Light House Cannabis,Hamilton,1931 King St E,Ontario
Rose Gold Cannabis,Petrolia,4247 Oil Heritage Rd Unit 4,Ontario
The Potery,Brampton,"239 Queen St E, Blk B, Unit 18-19",Ontario
Canna Savanna,Toronto,1149 Queen St W,Ontario
Sessions Cannabis - Etobicoke Albion Centre,Etobicoke,1530 Albion Rd Unit 100B,Ontario
Canna Cabana,Burlington,3505 Upper Middle Rd Unit D003,Ontario
Cannaverse,Niagara Falls,8189 Lundy'S Lane Unit 3,Ontario
Tokyo Smoke Princess Street,Kingston,2790 Princess St,Ontario
Herbiculture (Scarborough North),Scarborough,3280 Midland Ave Unit 19 & 20,Ontario
Yield Cannabis Co.,Belleville,110 North Front St Unit C004,Ontario
Sessions Cannabis Stoney Creek,Stoney Creek,1786 Stone Church Rd E,Ontario
Star Buds Cannabis Co. ,Bradford,22 Barrie St,Ontario
Supergas Cannabis,Hamilton,2255 Barton St E Suite 7,Ontario
Cannabuds,Scarborough,2776 Kennedy Rd,Ontario
The Bridgeport Cannabis Co.,Kitchener,8 Bloomingdale Rd N Unit 4,Ontario
Miss Jones,Peterborough,1154 Chemong Road,Ontario
Wavy Buds Recreational Cannabis,Scarborough,2448 Kingston Rd Unit 1,Ontario
Miss Jones,Welland,300 Lincoln St Unit 13,Ontario
Miss Jones,Timmins,2125 Riverside Dr Unit 5A,Ontario
Miss Jones,Barrie,110 Dunlop St W Unit 1,Ontario
Miss Jones,Goderich,397 Bayfield Road,Ontario
Miss Jones,Elliot Lake,40 Hillside Dr S Unit 3,Ontario
High Leaf Cannabis,St Catharines,359 Carlton St Unit 9,Ontario
Nature'S Haze,Aurora,15570 Yonge St Unit 8,Ontario
Superior Greens,Thunder Bay,421 Victoria Ave E,Ontario
