loc_name,muni,address,prov
Tweed,Kitchener,300 Bleams Rd,Ontario
Shinybud Cannabis Co. 7833 Tecumseh,Windsor,7833 Tecumseh Rd E,Ontario
Tokyo Smoke,Ottawa,234 Laurier Ave W,Ontario
The Bud Hub,London,600 Oxford St W,Ontario
Olympia Cannabis,Carleton Place,101 Bridge St,Ontario
Fallen Giants,Peterborough,172 Simcoe St,Ontario
Happy Life,Thunder Bay,1170 Memorial Ave,Ontario
High Variety Cannabis,Toronto,1184 Queen St W,Ontario
Capturing Eden,Tillsonburg,52 Simcoe St,Ontario
710 Kingston ,Kingston,471 Princess St,Ontario
Bini Smokes,Toronto,604 Yonge St,Ontario
Growers Retail,Toronto,2620 Danforth Ave,Ontario
Shinybud Cannabis Co. Nepean,Nepean,1600 Merivale Rd,Ontario
Civilian House Of Cannabis ,Toronto,71 Front St E,Ontario
Tokyo Smoke 570 Bloor St W,Toronto,570 Bloor St W,Ontario
Daisy Cannabis,Oshawa,555 Ritson Rd S,Ontario
Little House Cannabis,Toronto,307 Wellesley St E,Ontario
The Nug Co,Toronto,1213 Dundas St W,Ontario
Ganja Garden,Kitchener,2399 Kingsway Dr Unit 5,Ontario
Giggles Cannabis Company,Toronto,1026 Queen St E,Ontario
Mind Yo Budnizz,Etobicoke,1340 The Queensway,Ontario
Highties Cannabis Store,Gloucester,4000 Bridle Path Dr,Ontario
Harbourfront Cannabis,Toronto,10 Yonge St,Ontario
Spot420 The Cannabis Store,North York,1646 Victoria Park Ave Unit 8,Ontario
420 Love Main And Gage,Hamilton,976 Main St E,Ontario
Shinybud Cannabis Co. 5959 Jeanne D'Arc Blvd,Orleans,5959 Jeanne D'Arc Blvd S,Ontario
The Canadian Cannabis Store ,Cookstown,31 King St N,Ontario
Edition X,Toronto,270 Dupont St,Ontario
The House Of Cannabis,Barrie,66 Dunlop St W,Ontario
Stellar Bud,Woodstock,951 Devonshire Ave Unit 3,Ontario
The Green Room - King W,Kitchener,109 King St W,Ontario
The Neighbourhood Joint,Toronto,1987 Queen St E,Ontario
Soul Cannabis,Toronto,112 Dundas St W,Ontario
Friendly Stranger,London,1135 Richmond St,Ontario
Mani'S Toke,Toronto,1164 Queen St W,Ontario
Value Buds,London,450 Wharncliffe Rd S,Ontario
Dmac Toronto,York,2559 Eglinton Ave W,Ontario
Kia Ora Kannabis,Thunder Bay,1111 Victoria Ave E,Ontario
Insalata,Toronto,1331 St Clair Ave W,Ontario
Pur Cannabis – Woolwich,Guelph,739 Woolwich St,Ontario
Land Escape,Toronto,251 Coxwell Ave,Ontario
Cannabis Grey Bruce,Owen Sound,236 8Th St E,Ontario
Smokey Daze Inc,Tottenham,60 Queen St S,Ontario
Plug Canna6Is,Toronto,538 St Clair Ave W,Ontario
Spiritleaf Adelaide,Toronto,142 Adelaide St E,Ontario
Pop'S Cannabis Co. Pickering,Pickering,1822 Whites Rd Unit 13,Ontario
The Cannabis Guys,Goderich,46 Victoria St N,Ontario
Value Buds,Toronto,1287 Bloor St W,Ontario
Fratelli And Co,Mount Forest,514 Main St N,Ontario
Flower Pot,Toronto,1006 Dundas St W,Ontario
Capturing Eden,Owen Sound,973 2Nd Ave W,Ontario
Purple Tree Cannabis,Toronto,337 Roncesvalles Ave,Ontario
Olympia Cannabis,Ottawa,327 Bank St,Ontario
Hotbox Shop Kensington Market,Toronto,206 Augusta Ave,Ontario
House Of Bud,Toronto,1294 Queen St W,Ontario
Wonder Pot,York,2100 Eglinton Ave W,Ontario
Superette,Toronto,49 Spadina Ave,Ontario
